timestamp_utc,vram_used_mb,vram_free_mb,vram_total_mb
2026-08-23T09:43:07Z,7384,41020,48935
2026-08-23T09:43:09Z,7384,41020,48935
2026-08-23T09:43:11Z,7384,41020,48935
2026-08-23T09:43:13Z,7384,41020,48935
2026-08-23T09:43:15Z,7384,41020,48935
2026-08-23T09:43:17Z,7384,41020,48935
2026-08-23T09:43:19Z,7384,41020,48935
2026-08-23T09:43:21Z,7384,41020,48935
2026-08-23T09:43:23Z,7384,41020,48935
2026-08-23T09:43:25Z,7384,41020,48935
2026-08-23T09:43:27Z,7384,41020,48935
2026-08-23T09:43:29Z,7384,41020,48935
2026-08-23T09:43:31Z,7384,41020,48935
2026-08-23T09:43:33Z,7384,41020,48935
2026-08-23T09:43:35Z,7384,41020,48935
2026-08-23T09:43:37Z,7384,41020,48935
2026-08-23T09:43:39Z,7384,41020,48935
2026-08-23T09:43:41Z,7384,41020,48935
2026-08-23T09:43:43Z,7384,41020,48935
2026-08-23T09:43:45Z,7384,41020,48935
2026-08-23T09:43:47Z,7384,41020,48935
2026-08-23T09:43:49Z,7384,41020,48935
2026-08-23T09:43:51Z,7384,41020,48935
2026-08-23T09:43:53Z,7384,41020,48935
2026-08-23T09:43:55Z,7384,41020,48935
2026-08-23T09:43:57Z,7384,41020,48935
2026-08-23T09:44:00Z,7384,41020,48935
2026-08-23T09:44:02Z,7384,41020,48935
2026-08-23T09:44:04Z,7384,41020,48935
2026-08-23T09:44:06Z,7384,41020,48935
2026-08-23T09:44:08Z,7384,41020,48935
2026-08-23T09:44:10Z,7384,41020,48935
2026-08-23T09:44:12Z,7384,41020,48935
2026-08-23T09:44:14Z,7384,41020,48935
2026-08-23T09:44:16Z,7384,41020,48935
2026-08-23T09:44:18Z,7384,41020,48935
2026-08-23T09:44:20Z,7384,41020,48935
2026-08-23T09:44:22Z,7384,41020,48935
2026-08-23T09:44:24Z,7384,41020,48935
2026-08-23T09:44:26Z,7384,41020,48935
2026-08-23T09:44:28Z,7384,41020,48935
2026-08-23T09:44:30Z,7384,41020,48935
2026-08-23T09:44:32Z,7384,41020,48935
2026-08-23T09:44:34Z,7384,41020,48935
2026-08-23T09:44:36Z,7384,41020,48935
2026-08-23T09:44:38Z,7384,41020,48935
2026-08-23T09:44:40Z,7384,41020,48935
2026-08-23T09:44:42Z,7254,41150,48935
2026-08-23T09:44:44Z,7254,41150,48935
2026-08-23T09:44:46Z,7254,41150,48935
2026-08-23T09:44:48Z,7254,41150,48935
2026-08-23T09:44:50Z,7254,41150,48935
2026-08-23T09:44:52Z,7384,41020,48935
2026-08-23T09:44:54Z,7384,41020,48935
2026-08-23T09:44:56Z,7384,41020,48935
2026-08-23T09:44:58Z,7384,41020,48935
2026-08-23T09:45:00Z,7384,41020,48935
2026-08-23T09:45:02Z,7384,41020,48935
2026-08-23T09:45:04Z,7384,41020,48935
2026-08-23T09:45:06Z,7384,41020,48935
2026-08-23T09:45:08Z,7384,41020,48935
2026-08-23T09:45:10Z,7384,41020,48935
2026-08-23T09:45:12Z,7384,41020,48935
2026-08-23T09:45:14Z,7384,41020,48935
2026-08-23T09:45:16Z,7384,41020,48935
2026-08-23T09:45:18Z,7384,41020,48935
